name,image_filename,info
Shah Rukh Khan,Shah_Rukh_Khan.jpg,"Information about Shah Rukh Khan is not available.
Additional details will be updated soon."
Aamir Khan,Aamir_Khan.jpg,"Information about Aamir Khan is not available.
Additional details will be updated soon."
Salman Khan,Salman_Khan.jpg,"Information about Salman Khan is not available.
Additional details will be updated soon."
Hrithik Roshan,Hrithik_Roshan.jpg,"Information about Hrithik Roshan is not available.
Additional details will be updated soon."
Ranbir Kapoor,Ranbir_Kapoor.jpg,"Information about Ranbir Kapoor is not available.
Additional details will be updated soon."
Ranveer Singh,Ranveer_Singh.jpg,"Information about Ranveer Singh is not available.
Additional details will be updated soon."
Ayushmann Khurrana,Ayushmann_Khurrana.jpg,"Information about Ayushmann Khurrana is not available.
Additional details will be updated soon."
Vicky Kaushal,Vicky_Kaushal.jpg,"Information about Vicky Kaushal is not available.
Additional details will be updated soon."
Rajkummar Rao,Rajkummar_Rao.jpg,"Information about Rajkummar Rao is not available.
Additional details will be updated soon."
Tiger Shroff,Tiger_Shroff.jpg,"Information about Tiger Shroff is not available.
Additional details will be updated soon."
Varun Dhawan,Varun_Dhawan.jpg,"Information about Varun Dhawan is not available.
Additional details will be updated soon."
Sidharth Malhotra,Sidharth_Malhotra.jpg,"Information about Sidharth Malhotra is not available.
Additional details will be updated soon."
Aditya Roy Kapur,Aditya_Roy_Kapur.jpg,"Information about Aditya Roy Kapur is not available.
Additional details will be updated soon."
Arjun Kapoor,Arjun_Kapoor.jpg,"Information about Arjun Kapoor is not available.
Additional details will be updated soon."
Kartik Aaryan,Kartik_Aaryan.jpg,"Information about Kartik Aaryan is not available.
Additional details will be updated soon."
Ishaan Khatter,Ishaan_Khatter.jpg,"Information about Ishaan Khatter is not available.
Additional details will be updated soon."
Ahan Shetty,Ahan_Shetty.jpg,"Information about Ahan Shetty is not available.
Additional details will be updated soon."
Pratik Gandhi,Pratik_Gandhi.jpg,"Information about Pratik Gandhi is not available.
Additional details will be updated soon."
Vijay Varma,Vijay_Varma.jpg,"Information about Vijay Varma is not available.
Additional details will be updated soon."
Amit Sadh,Amit_Sadh.jpg,"Information about Amit Sadh is not available.
Additional details will be updated soon."
Jim Sarbh,Jim_Sarbh.jpg,"Information about Jim Sarbh is not available.
Additional details will be updated soon."
Diljit Dosanjh,Diljit_Dosanjh.jpg,"Information about Diljit Dosanjh is not available.
Additional details will be updated soon."
Sunny Kaushal,Sunny_Kaushal.jpg,"Information about Sunny Kaushal is not available.
Additional details will be updated soon."
Abhimanyu Dassani,Abhimanyu_Dassani.jpg,"Information about Abhimanyu Dassani is not available.
Additional details will be updated soon."
Aayush Sharma,Aayush_Sharma.jpg,"Information about Aayush Sharma is not available.
Additional details will be updated soon."
Sushant Singh Rajput,Sushant_Singh_Rajput.jpg,"Information about Sushant Singh Rajput is not available.
Additional details will be updated soon."
Farhan Akhtar,Farhan_Akhtar.jpg,"Information about Farhan Akhtar is not available.
Additional details will be updated soon."
Shahid Kapoor,Shahid_Kapoor.jpg,"Information about Shahid Kapoor is not available.
Additional details will be updated soon."
John Abraham,John_Abraham.jpg,"Information about John Abraham is not available.
Additional details will be updated soon."
Saif Ali Khan,Saif_Ali_Khan.jpg,"Information about Saif Ali Khan is not available.
Additional details will be updated soon."
Akshay Kumar,Akshay_Kumar.jpg,"Information about Akshay Kumar is not available.
Additional details will be updated soon."
Ajay Devgn,Ajay_Devgn.jpg,"Information about Ajay Devgn is not available.
Additional details will be updated soon."
Riteish Deshmukh,Riteish_Deshmukh.jpg,"Information about Riteish Deshmukh is not available.
Additional details will be updated soon."
Emraan Hashmi,Emraan_Hashmi.jpg,"Information about Emraan Hashmi is not available.
Additional details will be updated soon."
Arshad Warsi,Arshad_Warsi.jpg,"Information about Arshad Warsi is not available.
Additional details will be updated soon."
Sanjay Dutt,Sanjay_Dutt.jpg,"Information about Sanjay Dutt is not available.
Additional details will be updated soon."
Sunny Deol,Sunny_Deol.jpg,"Information about Sunny Deol is not available.
Additional details will be updated soon."
Bobby Deol,Bobby_Deol.jpg,"Information about Bobby Deol is not available.
Additional details will be updated soon."
Prabhas,Prabhas.jpg,"Information about Prabhas is not available.
Additional details will be updated soon."
Allu Arjun,Allu_Arjun.jpg,"Information about Allu Arjun is not available.
Additional details will be updated soon."
Yash,Yash.jpg,"Information about Yash is not available.
Additional details will be updated soon."
